Motif ID,Mean,STD
541134,2.3128693311560326e-05,1.4433217094034975e-05
35543,4.3258876607439729e-07,1.2669819095507428e-06
541133,7.2447796462248007e-05,4.0359925209418293e-05
35230,9.5274088673477313e-06,1.8770827081703714e-05
35547,5.2767255995749592e-07,2.0666261701117318e-06
35549,4.5476264361510921e-06,9.0230205982392396e-06
145758,7.2900490077654473e-08,3.4889800316115105e-07
541135,9.809073848699959e-07,1.4853887921809879e-06
562111,2.4730467643937486e-08,1.3455734076361817e-07
296366,2.3727868409885659e-06,5.11686303215335e-06
296364,1.0518572323988193e-05,1.9665335951042205e-05
296363,4.2881951256921274e-06,6.9611419636703512e-06
581359,6.9127646445618668e-08,3.1960752054856034e-07
35231,2.2320919678798669e-06,1.1302174886668879e-05
19391,1.7441021907193119e-06,5.4720816903418794e-06
281774,1.4637666213700538e-05,2.5971125979030385e-05
817015,9.3690130817189026e-07,2.5499151955139416e-06
212191,4.7309402665371796e-08,2.8334169599489954e-07
812007,3.5584083283702058e-07,1.0704571707073975e-06
420333,3.6227560597972316e-08,1.879946080151743e-07
27373,1.1674394452029629e-06,2.1076392375571049e-06
82220,0.0011003531008748834,0.00036285138033486308
552639,9.4364508569344551e-08,7.2264801675063676e-07
75949,3.0687869775716509e-06,2.9064465367385997e-06
279500,5.3296168617628031e-05,3.9244798653030373e-05
279502,4.5054498469151275e-06,6.5422200260857784e-06
552631,1.9699299410081966e-07,1.2943720867031055e-06
552635,1.7755575883274271e-08,1.0033632046195236e-07
297707,2.7176639184029262e-07,1.4346886234042284e-06
99998,3.2765863707095726e-07,7.7800289034677297e-07
165822,4.2358430603151349e-08,1.9997736587527379e-07
297709,9.7477053941416333e-08,3.4986873863369311e-07
16701,0.00023518422553385723,0.00019530490348964992
80590,1.7976111056630073e-07,5.6049410487711646e-07
543803,2.065240150308013e-07,6.6475088120903618e-07
678623,1.1675320063498197e-08,6.9437598058713029e-08
280235,1.8750444221971343e-06,3.3008132463505236e-06
17259,1.868919632369962e-06,3.6614658499908999e-06
100014,1.5316325515060481e-06,1.8269207538936181e-06
