Motif ID,Mean,STD
541134,2.7718426205285868e-05,2.1530509326593161e-05
541135,1.2875006859183593e-06,1.6742169709216378e-06
541133,6.4322628518787808e-05,3.8715684026338783e-05
35230,1.1054998689647146e-05,1.4824335192184498e-05
35547,4.7859385905618414e-07,9.1109519238787341e-07
35549,7.252279767376878e-06,1.3299394555909087e-05
145758,4.1247521999277613e-08,1.7444838680887824e-07
35543,1.0283169400717337e-06,2.170670110599214e-06
296366,3.365479321644233e-06,7.6806752066128089e-06
296364,5.5374682796269947e-06,7.2368230883342339e-06
296363,2.4168496372775738e-06,3.349173252449055e-06
581359,1.3902783537251517e-07,4.1255125518235023e-07
35231,8.8641290300469405e-07,1.6265333240310939e-06
19391,2.8895647057782937e-06,1.0176958644636819e-05
567021,4.2947384936366998e-07,1.5725712447579675e-06
817015,1.9960379892049867e-06,5.266542509787397e-06
212191,1.2637242596935345e-07,5.7161328200370774e-07
812007,4.0560378021316784e-07,1.1281653892648039e-06
420333,1.2232768071188447e-08,7.540784679310586e-08
27373,1.970423071678521e-06,3.4405140804399622e-06
82220,0.00093101068197700787,0.00035103255203647007
552639,2.7720449237694661e-08,1.3142351221605373e-07
75949,3.4939069150262838e-06,3.515166801550327e-06
279500,4.2119768239205244e-05,3.5011294198416917e-05
279502,3.85429951820822e-06,5.8205825186229751e-06
552631,3.9871783021212215e-08,1.3882972622507904e-07
552635,2.8550887494876679e-08,8.4649672239516428e-08
297707,5.2240696136096597e-07,1.8329987235966792e-06
99998,4.0718865982242975e-07,1.0461625041562233e-06
165822,1.3706052262943558e-07,3.8949679722447963e-07
297709,1.3770784901179783e-07,5.1563098053872876e-07
16701,0.00016830357748347105,0.00011331475146336215
80590,5.6102296185392597e-07,1.7584427299267481e-06
149931,4.805705585975479e-07,9.7425075298456972e-07
678623,1.138183216243304e-08,7.0162325561544851e-08
280987,3.3559134683145906e-06,1.080333210437764e-05
17259,1.0639664720838868e-06,1.4583908234256823e-06
100014,1.2001223741602625e-06,1.6439192155062013e-06
149934,3.2760093447964415e-07,4.6388187019707799e-07
839423,4.4260276925678662e-08,1.6947653129399105e-07
295851,3.5973721403827914e-06,1.0002410579759477e-05
52461,1.916212002063364e-05,1.6583968592775732e-05
52462,0.0004468430698978838,0.00030854451919734441
52463,2.433311186116416e-05,3.4776574055077712e-05
295854,2.9800177539724364e-06,3.3146939964355105e-06
297562,3.0085498160442227e-06,3.4386110741231189e-06
297561,5.6171111341016357e-05,4.047393398718437e-05
549755,7.1925283842523709e-09,4.4337722688637151e-08
297564,2.1436566132499911e-06,3.63235812140546e-06
10702,9.2116554851234877e-06,9.0825063186819955e-06
836959,4.674344427317692e-07,2.4434120407902964e-06
585335,2.8685235109317494e-08,1.0606797506285111e-07
149147,1.2518367312698236e-08,5.4076931404537532e-08
173543,5.0547748076383191e-08,1.7247469690155929e-07
269549,2.8135047987165637e-06,2.843569073124259e-06
269547,4.9706624594632546e-07,8.349772161258352e-07
269543,6.147145400699045e-07,1.1123337013412667e-06
152926,2.5094827415691992e-06,3.6990456248816867e-06
84125,1.6503378557893929e-06,2.7667391148747419e-06
270061,8.6245267876135026e-06,1.0146630808342472e-05
26026,3.8277791263512285e-05,2.9690004171799694e-05
306943,3.8603443016369842e-08,1.4300980882702052e-07
44799,7.6642231519518779e-06,1.6588052812096917e-05
266925,1.2942684622029381e-06,1.6652500181431527e-06
271223,2.8832258387400431e-07,9.0733106578727267e-07
147871,9.6056706740875714e-08,3.284252180906959e-07
147870,3.2855646750646936e-06,3.3054696040592053e-06
22871,3.7257073523194359e-07,1.0385124242745107e-06
827135,7.9258751246953586e-08,3.4667254588364821e-07
139933,6.8611921743210706e-06,2.2017345544974293e-05
22878,1.0247248554907126e-06,2.2050784148279926e-06
139934,3.2471158004806424e-05,5.7490913748453387e-05
37790,2.5785379990614212e-06,3.213662368378379e-06
38503,0.00015413410610116279,0.00011354323079712758
84699,5.4888248859184642e-08,1.3980431789909369e-07
3519,2.3732107970540195e-05,4.0447846865993788e-05
2685,5.7599553442536119e-05,5.4062328993318189e-05
2686,4.6311323269587942e-05,4.1241564631361225e-05
2687,6.50455793678571e-05,0.00012577807765987633
2683,0.00013143021708272469,0.00019023964822924711
563934,7.1925283842523709e-09,4.4337722688637151e-08
563935,4.47772430732373e-08,1.3430386831353645e-07
528797,8.6289058853167291e-06,1.8063180020214372e-05
563933,2.6208719266317599e-07,5.4125884702939195e-07
563931,3.3193631271190351e-07,1.2287945768646017e-06
528799,1.4568017224340015e-06,5.2779727605818062e-06
528798,7.5496332523385366e-06,2.1537361894765278e-05
271085,3.6870827451704724e-06,1.1098113091014532e-05
71820,0.00020079502390393697,0.00021389748211776788
268635,3.0983718792210271e-07,8.018141177788692e-07
268636,5.0543766114862522e-06,6.5085460416691002e-06
148638,3.3761483244120482e-06,4.6886561295263125e-06
148639,6.7721570995793818e-09,4.1746380054952914e-08
433086,2.7798318386493511e-08,1.1964207398756512e-07
33853,1.2062096280686507e-05,1.0267984349124103e-05
543471,1.3952653577281597e-06,2.9500192399614812e-06
543470,1.9865986348626676e-06,3.9783159844199632e-06
33501,1.1323012451028364e-05,1.2820681785770079e-05
71756,0.00015815923151158012,0.00014459932503232942
575453,3.7354077277550495e-08,1.9201092442701488e-07
575451,1.1690952634448423e-07,5.1061481818374093e-07
575455,3.3071666908821803e-08,1.1936468021102882e-07
17823,9.2490722583281871e-08,3.4329095468440036e-07
17822,2.7356134115406482e-06,5.3011371307108086e-06
156655,3.8914300940646628e-08,1.7064933947981549e-07
27579,1.5515156994913546e-05,2.6456815937321267e-05
183227,7.6057138468736748e-07,1.4043088734175821e-06
27575,1.2753620406217779e-06,2.5478514210046371e-06
137643,4.3212725753562084e-06,5.1355123653034539e-06
137646,1.2523780103263956e-06,1.6242960184099879e-06
83611,2.5678664492934937e-07,9.9157040336047526e-07
83614,1.446190019315782e-07,3.6571553747322421e-07
1179,0.00097722685190697821,0.00089767905792954134
1006,0.00029294281930334069,0.00020623877946959911
296555,7.5376055687063134e-07,2.0059000517239985e-06
296554,9.6656999023173311e-06,1.3313454844018858e-05
296556,2.036486028023498e-06,6.4338873208867928e-06
296550,2.5516481018518966e-05,2.3213161862389776e-05
296553,3.437766599041248e-06,3.8014696068433662e-06
1003,6.3241008327999992e-05,0.00011425666211574965
174686,5.7323962552046906e-07,1.9157824061825812e-06
313325,5.5939064053711251e-07,1.2408174339821792e-06
72255,3.6087880204178035e-06,1.2550765153996086e-05
72254,5.3450366748769043e-07,1.3309826525420829e-06
72251,3.6890925943637039e-05,0.00010688401874138015
268859,4.4290622625193127e-06,1.0832886555095333e-05
552028,9.5595106190450115e-06,1.7393448773915833e-05
34559,1.4828327074573724e-06,3.3360215693781635e-06
847579,1.5201113621423013e-08,9.3705957668622512e-08
109662,2.1206432745970268e-07,5.1734263314273518e-07
552026,3.9040977392586555e-07,9.1412231366247983e-07
8541,1.8024153586278389e-05,4.2892632474162299e-05
8543,2.9951552410143482e-06,8.0876016529790032e-06
8542,2.4380581471530048e-05,1.8611437620246209e-05
224255,7.7847462215922241e-08,2.6999640254314249e-07
26623,2.5008193781279262e-06,8.2974660143116331e-06
531935,5.7979134537358055e-08,2.019412532558874e-07
825806,1.1115706206820847e-06,4.1926003154991809e-06
541309,1.3901703714896468e-08,5.9831572456952952e-08
35931,2.3356553554704949e-06,3.3294916520202033e-06
541307,1.4385056768504742e-08,8.8675445377274303e-08
35935,4.1941523929992623e-07,8.7657074123137156e-07
35934,9.8100008506507072e-06,7.5731950963724927e-06
576439,7.4813234832143483e-08,3.4147863118420761e-07
838879,2.3560618532325131e-08,1.014168076492027e-07
838307,2.7824987055690796e-07,1.0287223960964905e-06
838877,4.556128519091021e-08,2.8085862442411001e-07
170455,5.7895985334557212e-07,1.3510251156722522e-06
273627,5.631490289038435e-09,3.4714837595332324e-08
144349,1.8073315822967511e-06,6.6835359264046468e-06
273623,1.341835066128819e-08,8.2716268713192891e-08
158158,1.6275195757184706e-07,3.9867479251491178e-07
273629,1.0132213273331498e-06,1.1528095404176684e-06
154718,6.5772278292422711e-07,1.3799855504185084e-06
50671,2.0452453399194959e-06,2.7248071535350603e-06
811963,3.7765840829081729e-08,1.6975483275213299e-07
154861,4.0075453027205847e-07,8.5839990538981736e-07
154093,4.1004853029056041e-08,1.773908581450633e-07
813039,5.0347698689766588e-08,3.1036405882045981e-07
398,0.001227976861708323,0.00044786793022000591
266917,7.3037810076410328e-05,3.4014827242743507e-05
2303,6.6475450651566617e-05,0.00014760814731104398
289791,7.6967494950317891e-08,2.7868274469505348e-07
5847,1.593512409257885e-06,3.4941085376135171e-06
266909,7.4794294743705186e-07,1.017337697182762e-06
17623,2.0615486861271378e-06,6.293346356755381e-06
17627,2.2598300139451523e-06,5.0662879402547968e-06
683455,2.5558946046519711e-08,1.1003916578848211e-07
17629,1.7565430978761348e-05,2.040813889166358e-05
100956,3.4268303490165123e-06,6.0117794279341916e-06
551643,5.4065510369733633e-07,1.0415290548889501e-06
116334,2.9567687222498909e-06,4.3301287471224933e-06
116335,1.2806007234611176e-06,1.682013832510551e-06
551647,1.3326177975331261e-08,8.2148078117188789e-08
551646,4.1697477579740262e-08,1.7946311098134768e-07
539863,5.7540227074018967e-08,3.5470178150909721e-07
562879,1.8097235322412822e-07,8.4779412801203712e-07
562875,8.2821697019620873e-07,2.4870218381361897e-06
562877,6.9790260700692066e-08,3.1996085547006649e-07
562871,2.1846413404605964e-06,7.8527585666361296e-06
539869,1.1569334635020856e-06,3.309204312160561e-06
19563,3.3519541649724811e-06,5.2410745325578805e-06
181150,1.0247855412015924e-06,2.4946420853077935e-06
181623,1.4891486398145706e-07,4.2920717449389664e-07
19566,0.00021671658128855182,0.0001556038707717943
19567,6.3909306191930806e-06,9.0696881701951715e-06
101020,2.8785606386371685e-07,1.0086395662598472e-06
830335,2.1577585152757111e-08,1.3301316806591139e-07
101531,2.7020568272865648e-08,1.0225757306759032e-07
101534,5.8600351216931343e-06,2.2957621132428989e-05
181629,9.7089939510388062e-08,2.9267767375583214e-07
550250,2.1577585152757111e-08,1.3301316806591139e-07
122607,3.7518228656918134e-06,1.2987838060754838e-05
534846,1.3364660352342416e-06,1.5038156773302377e-06
13287,4.5883032168210193e-06,7.6196716332554677e-06
297703,1.5695738434219161e-07,4.2905922483202876e-07
173,0.002920025366585218,0.0017474138582261297
1048575,1.4761377656363398e-07,5.2477056013188343e-07
139581,5.881797824686371e-06,6.544420361194472e-06
109791,9.4973675815466014e-08,3.873069478593013e-07
42334,2.0413764596630217e-06,2.8517855356910388e-06
824990,8.290288935571948e-07,1.8524050492492086e-06
824222,1.1134728627065663e-06,2.1132261405659738e-06
20087,1.0109819397546148e-06,2.5762917147190319e-06
560127,6.2580466760955042e-08,3.1745930278305347e-07
547511,4.6902496085698795e-08,1.8761750037830643e-07
616910,3.405003038899192e-08,1.3580735843147455e-07
557726,3.347953477423056e-07,7.0650965734052505e-07
557727,1.3599608331061097e-08,5.8494636806530153e-08
557721,1.0437974131572687e-05,1.0365930493492377e-05
10397,6.0823639342798116e-06,6.777368289918842e-06
297918,3.4145496487299125e-08,2.1048697668463483e-07
539391,1.3413261617988766e-08,8.2684897743416306e-08
297911,6.9852895536537866e-08,2.7978840618501119e-07
278271,3.4862048765791999e-08,1.430196620199556e-07
297915,5.1719871838228016e-07,1.2843002745004026e-06
6214,0.0012154374933437645,0.00044573155237171851
568029,7.0072012555766041e-07,1.48768142111092e-06
269483,1.7205916861399847e-06,2.3240144657211236e-06
269486,3.2386737444364117e-05,2.6303992403289753e-05
179199,2.2041004038417027e-07,8.3691389237743542e-07
295513,3.4690233671523078e-05,2.34243163408219e-05
6811,5.4307665459479689e-05,4.3086786644306437e-05
70349,3.971415603538001e-05,2.7870673932619643e-05
6814,2.0156576922259907e-07,5.7867686630868941e-07
137983,1.2453815704848047e-07,3.3753808980789446e-07
676727,4.2626295626996294e-07,9.7502000820686803e-07
539647,8.8226448441416301e-08,2.8622374404614107e-07
682495,4.4703093547139688e-08,1.7096137422264173e-07
574259,3.1798450649880284e-06,5.0243250239300237e-06
551655,2.7548217069618613e-07,7.6184092444399388e-07
8846,0.00019976382029611813,0.000114078267581835
547515,3.7820788795924008e-06,5.018591968071223e-06
267883,5.6285245827617039e-07,9.8117459051150707e-07
33755,3.9589495755019694e-07,8.5112605062539475e-07
267884,6.4196702175864354e-07,1.1304858307571918e-06
8919,9.7044241790953204e-06,2.4935903306669283e-05
826591,1.161585699175542e-07,5.8948605676912027e-07
137325,7.3082650389130488e-07,9.4107380434230214e-07
814079,1.3384562878191188e-07,6.0011891138949632e-07
837215,1.2716246789853613e-08,5.4816743013867989e-08
537966,2.5570857409830699e-08,9.3126957429498485e-08
28351,8.0246858046829402e-07,1.3013472805737252e-06
28350,1.7034375150802503e-07,7.9047949493202872e-07
566971,6.3266498823022953e-07,2.6218979889942233e-06
268461,6.4438593599416515e-06,6.9344013707187351e-06
566973,5.1127819900922206e-07,2.0747381164098305e-06
566975,2.1455781521917226e-07,1.1973411383010142e-06
566974,1.2232768071188447e-08,7.540784679310586e-08
585471,6.6035385155328219e-07,2.7364219925909439e-06
831231,3.3556961297116994e-08,1.2019666303555561e-07
833407,5.6537988726027113e-08,1.516528350474285e-07
562542,6.0063100910868082e-08,2.3202449699626833e-07
280510,1.7143838898964265e-07,7.6180928304114066e-07
295850,6.7969741803218419e-05,6.598848220071014e-05
834541,5.0661274276641701e-07,2.4384680416573666e-06
834542,6.2089793128686197e-07,3.0666238130993505e-06
834543,4.8316033170538403e-07,2.1977971717051761e-06
677278,6.7721570995793818e-09,4.1746380054952914e-08
38367,1.7673555964493074e-06,5.0820538896303305e-06
72396,4.627702719743547e-05,2.8689583239423912e-05
295852,8.5997740868833686e-06,8.3266971502195478e-06
239597,5.1083360982070087e-08,2.407999386540011e-07
104063,2.276366432486608e-08,1.403246511230897e-07
239598,2.2666090791690223e-07,1.1085532233803586e-06
72398,3.1080452796701121e-06,3.3301128416065222e-06
5615,2.1242180179176755e-05,4.556237453643499e-05
183415,4.2954172085733655e-08,1.6484776865495499e-07
575197,6.7721570995793818e-09,4.1746380054952914e-08
34542,2.1116616842903337e-05,1.9634190369586237e-05
533053,6.8685829621847171e-06,8.1374976104173289e-06
575195,1.2232768071188447e-08,7.540784679310586e-08
23263,3.0389662906728392e-07,6.8324800889783402e-07
533646,8.4105177730655495e-06,8.7009257520154256e-06
577215,6.2684815959097205e-08,2.7781054332625584e-07
575191,6.706630808994383e-09,4.1342448871708153e-08
529983,1.1855526169657986e-07,3.7021067219945353e-07
296347,4.1672207223816519e-08,1.8208260404060707e-07
296348,3.74476282475192e-06,5.3680971981031446e-06
978398,4.5842861780659049e-08,2.0383120585222999e-07
109279,1.7832269070822691e-08,1.0992548916489002e-07
581375,3.1658631367900493e-08,1.2486478859224665e-07
