Motif ID,Mean,STD
541134,1.3024362990414183e-05,1.4559741916469467e-05
35543,1.9777818597044408e-06,4.9313423791247538e-06
541133,2.0443413433775747e-05,2.8495018481976987e-05
35230,4.401821926339572e-05,8.1362888676092632e-05
35231,5.8985237233275622e-06,2.0106140985696679e-05
35549,3.4566945024684376e-05,4.6332751267474022e-05
145758,1.1618971283012633e-07,3.6571476264983979e-07
541135,4.3453708821271088e-07,1.0408800272006233e-06
562111,6.9943017566558966e-08,2.5534452184556392e-07
296366,4.7094727057580877e-06,9.0860583560859318e-06
296364,8.6661522729180954e-06,1.4995474920176514e-05
296363,1.5612456768442844e-06,2.2233668430176944e-06
581359,1.9881599322777182e-07,6.3500670174635696e-07
35547,1.7919081404194647e-06,3.6762579709946912e-06
19391,9.6578973967319565e-06,1.6440927355385732e-05
567021,1.1807997415082676e-06,4.9070945123237389e-06
817015,1.119720521206634e-05,1.5378493032202444e-05
212191,6.3355893590122505e-08,3.2477347972561076e-07
812007,1.0949709691936376e-06,2.5567554347886878e-06
420333,9.2796573483330261e-09,5.2217773675296807e-08
27373,5.069773686131439e-06,8.0468794618893616e-06
82220,0.00026356675391877703,0.00033036249368892774
552639,3.0321082998918606e-07,1.2793172175227011e-06
75949,1.5948075876112366e-06,2.8226030046495326e-06
279500,1.1829136894089382e-05,2.249012759881863e-05
279502,1.1278426423172894e-06,1.9704053080401345e-06
552631,2.461441618261311e-07,1.1575415204629543e-06
552635,2.0272514741567336e-07,5.6438831016676713e-07
297707,1.017708166682133e-06,2.8532508943272561e-06
99998,4.9048322839526066e-07,9.871664949794467e-07
297703,3.6703442177573127e-07,1.7457920248221511e-06
297709,3.1102830672149027e-07,9.2802200019397618e-07
16701,0.00012787670883624862,0.00015041844641526842
80590,4.4922005965217572e-07,2.3243257047991536e-06
543803,3.5168599325081664e-07,1.3671212863806227e-06
678623,4.238424248804997e-09,3.3907393990439989e-08
280987,2.9996567811085194e-06,5.8245853986451738e-06
17259,3.2034500026723557e-06,5.4815994038650441e-06
100014,4.7342127496545115e-07,9.6846207554197434e-07
543806,3.5835870749363253e-06,6.6766910111173103e-06
839423,9.3716490874580264e-07,2.2659594231188221e-06
295851,9.0328880968019627e-06,2.9351787358755123e-05
52461,0.00010057250499564723,0.00010821822348465668
52462,0.0021834597945111149,0.0019578402757826348
52463,0.00018021251078058765,0.00018789034420620547
295854,2.1963087132723421e-06,3.7758433939161857e-06
297562,2.940432158101108e-06,4.9966021859712168e-06
297561,1.4189972502477774e-05,2.0990966483009818e-05
549755,1.293211943608842e-07,5.8175073934545308e-07
297564,1.4595690873240616e-06,3.5277050644005041e-06
10702,1.0920055211044785e-05,1.2664713740106842e-05
836959,2.7869855127697767e-07,1.2330318827285202e-06
585335,4.8845818491724456e-07,1.9638912573725847e-06
149147,4.5128222711142813e-08,1.5699839723399023e-07
173543,3.2816469880085238e-07,1.4081584373947921e-06
436703,8.2820140060865774e-09,6.6256112048692646e-08
269549,2.550395236186738e-06,4.2845944750433545e-06
269547,5.9203903679140824e-07,1.3258777649970993e-06
269543,3.0026953258647367e-07,6.8042189902694169e-07
152430,1.3377699781909477e-07,8.3260298809286003e-07
84125,1.4915465246500703e-06,2.8023186224183735e-06
270061,7.3116285394631719e-06,1.3793718391278666e-05
315067,8.2794420738137738e-08,4.7593687721140498e-07
633325,5.5665463063275407e-08,2.1928632866823125e-07
26026,2.9675765466281001e-05,3.9394642231831656e-05
306943,1.0097508397234129e-07,5.1267943534163065e-07
44799,6.170773170744661e-05,7.4386288606832215e-05
266925,5.4763668670578856e-07,1.0321547516142237e-06
271223,3.5370150013555819e-07,1.0934138471288444e-06
147871,6.1307175675127684e-08,2.4409688692094436e-07
147870,1.0135332968197932e-06,2.3784244889377229e-06
22871,2.565452544198005e-06,8.4033170873045443e-06
827135,2.2412732795105066e-07,1.0935295655078945e-06
139933,1.079550461140977e-05,3.3696003031163777e-05
22878,3.1171112737221764e-06,6.606557181269315e-06
139934,9.0337881098269258e-06,1.1558035273836058e-05
37790,7.2522732477697853e-06,1.1759929929541366e-05
38503,0.00021044758033523386,0.00018464212649235877
158719,9.1199119702376161e-08,2.9428044761815659e-07
3519,0.00016087629398346603,0.00019212372332241226
2685,0.00015513079251113098,0.00014461651558234182
