Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
271260,0.4756,0.2828,0.1114,0.3834,0.0,0.0,0.0,0.0
271262,0.3526,0.2988,0.3246,0.3296,0.0,0.0,0.0,0.0
3551,0.3706,0.3214,0.3946,0.499,0.0002,0.0028,0.0012,0.0002
271045,0.335,0.1008,0.4548,0.2988,0.207,0.0,0.0,0.0174
719,0.0666,0.4424,0.4684,0.1068,0.0002,0.0,0.0,0.0002
718,0.4874,0.323,0.1956,0.3226,0.0002,0.0002,0.0002,0.0002
717,0.0188,0.2648,0.0204,0.3184,0.0002,0.051,0.0622,0.0002
716,0.0256,0.1076,0.1192,0.4374,0.0002,0.0002,0.0002,0.0002
715,0.2472,0.498,0.1614,0.0598,0.0,0.0,0.0,0.0
714,0.3202,0.2594,0.2362,0.359,0.0,0.0,0.0,0.0
713,0.0026,0.3928,0.4046,0.004,0.0,0.0,0.0,0.0
166251,0.015,0.1012,0.1338,0.0106,0.0,0.0,0.0,0.0
280923,0.3864,0.3558,0.488,0.498,0.0,0.0,0.0,0.0
24303,0.3028,0.3194,0.4374,0.4546,0.0002,0.0002,0.0002,0.0002
528863,0.0836,0.4646,0.455,0.0928,0.0136,0.0,0.0192,0.04
1067,0.0746,0.1882,0.2686,0.4544,0.0,0.0,0.0,0.0
1066,0.161,0.1892,0.2306,0.3732,0.0,0.0,0.0,0.0
175229,0.4516,0.2204,0.4472,0.3418,0.0002,0.2858,0.2656,0.0002
18079,0.3024,0.2268,0.4458,0.4764,0.0002,0.2524,0.0,0.0036
18078,0.1742,0.4424,0.4228,0.2762,0.0,0.0,0.0,0.0
33814,0.4074,0.4352,0.182,0.1344,0.0002,0.0002,0.0002,0.0002
18070,0.0118,0.0428,0.387,0.1596,0.0002,0.0002,0.0144,0.0002
18073,0.1092,0.2642,0.4482,0.2908,0.0138,0.1068,0.1214,0.4516
18075,0.093,0.1522,0.1616,0.0924,0.0,0.0,0.0,0.0
18074,0.0206,0.3038,0.0076,0.3482,0.0226,0.0158,0.003,0.0412
18076,0.169,0.1094,0.0854,0.3682,0.0,0.0,0.0,0.0
272799,0.1364,0.0386,0.1056,0.2462,0.026,0.0,0.0,0.0
272798,0.056,0.2778,0.092,0.389,0.1204,0.0,0.0,0.0906
91758,0.0422,0.1628,0.24,0.38,0.0002,0.0002,0.0064,0.0002
17863,0.3166,0.2938,0.3624,0.3914,0.0,0.0,0.0,0.0
17867,0.3678,0.291,0.2156,0.2126,0.0,0.0,0.0,0.0
272796,0.0056,0.4668,0.0146,0.3022,0.0002,0.0002,0.0002,0.0002
83307,0.2942,0.3524,0.2952,0.4028,0.0762,0.0,0.0,0.3544
289998,0.2336,0.0318,0.3994,0.184,0.0002,0.3376,0.4244,0.0002
83659,0.0664,0.3884,0.1912,0.025,0.0,0.0,0.0,0.012
118462,0.134,0.347,0.4574,0.1524,0.0002,0.4838,0.1374,0.0006
828830,0.233,0.4388,0.2038,0.1574,0.1974,0.0,0.0,0.4704
118461,0.105,0.2878,0.3234,0.1744,0.0038,0.0,0.4606,0.0014
542764,0.2086,0.3252,0.4066,0.273,0.0012,0.4392,0.486,0.035
296598,0.1816,0.1152,0.2994,0.4048,0.0,0.0,0.0,0.0
