Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
11,0.0002,0.4628,0.1712,0.0128,0.0002,0.4978,0.2564,0.0002
10,0.468,0.3012,0.1564,0.0462,0.0044,0.3296,0.3684,0.0002
39,0.0162,0.2018,0.024,0.136,0.0002,0.038,0.0458,0.0002
38,0.0,0.386,0.0036,0.092,0.0,0.3468,0.322,0.0
15,0.0002,0.0892,0.0126,0.259,0.0002,0.004,0.1006,0.0002
23,0.0468,0.2142,0.258,0.1742,0.0002,0.0162,0.0254,0.0002
47,0.0198,0.036,0.3924,0.448,0.0002,0.4008,0.2236,0.0002
42,0.0062,0.2408,0.0062,0.1688,0.0,0.2164,0.458,0.2172
43,0.0174,0.0288,0.332,0.1786,0.0002,0.0002,0.0458,0.0002
3,0.0074,0.3656,0.0008,0.404,0.0002,0.395,0.426,0.0002
63,0.0004,0.012,0.1862,0.214,0.0002,0.0002,0.0126,0.0002
7,0.0146,0.142,0.2564,0.0032,0.075,0.3396,0.4272,0.012
9,0.0,0.3634,0.0006,0.0738,0.0,0.2742,0.4366,0.0
