Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
2188,0.0,0.29,0.0006,0.3516,0.0,0.406,0.1662,0.0
95,0.128,0.087,0.308,0.2914,0.0002,0.4056,0.1474,0.0002
161,0.0,0.4192,0.0006,0.2732,0.0,0.1912,0.2332,0.0
162,0.0,0.1766,0.0004,0.1746,0.0,0.3126,0.1644,0.0
2212,0.0004,0.4388,0.0026,0.2446,0.0,0.2238,0.05,0.0
15,0.0568,0.3576,0.3058,0.0126,0.0002,0.0002,0.0082,0.0002
14,0.0,0.3712,0.025,0.0116,0.0,0.092,0.0224,0.0
2215,0.2988,0.167,0.2976,0.1656,0.0,0.0,0.0,0.0
2214,0.0108,0.3502,0.0036,0.307,0.0,0.0402,0.0104,0.0
2219,0.0314,0.3026,0.0506,0.2442,0.069,0.0032,0.01,0.0002
3446,0.0506,0.0602,0.3134,0.4562,0.0002,0.3532,0.04,0.0002
2159,0.1216,0.3958,0.0814,0.017,0.1474,0.0,0.0,0.1702
2358,0.0344,0.1558,0.2452,0.0728,0.0002,0.0002,0.0002,0.0002
2359,0.0086,0.073,0.2674,0.0772,0.0002,0.3476,0.2388,0.0002
1102,0.0002,0.4132,0.0286,0.0388,0.0,0.001,0.0002,0.0012
2351,0.1468,0.2234,0.2188,0.343,0.3502,0.0,0.0,0.0486
2357,0.2456,0.1568,0.1914,0.262,0.0002,0.0,0.0,0.0002
151,0.0168,0.0722,0.4442,0.245,0.0002,0.0,0.0,0.0026
150,0.0006,0.4224,0.047,0.027,0.0,0.0,0.0,0.0
1166,0.0008,0.4838,0.0156,0.0468,0.0,0.0008,0.0002,0.0344
157,0.0302,0.3496,0.4804,0.0054,0.0,0.0008,0.0012,0.0502
2991,0.1192,0.1532,0.199,0.397,0.0002,0.0,0.0,0.0002
1205,0.1674,0.1352,0.1912,0.3042,0.0002,0.0,0.0072,0.0002
158,0.0064,0.4518,0.0964,0.1174,0.0,0.0,0.0,0.0
1207,0.3842,0.0348,0.3186,0.2784,0.0002,0.4984,0.4374,0.0002
1206,0.009,0.2992,0.1032,0.0886,0.0002,0.0002,0.0002,0.0002
927,0.2672,0.4806,0.2178,0.1182,0.0002,0.0202,0.057,0.0002
959,0.4484,0.0128,0.486,0.0894,0.0002,0.0042,0.0584,0.0002
2347,0.0086,0.397,0.4768,0.0016,0.0,0.0,0.0002,0.0
2135,0.4532,0.0142,0.051,0.3354,0.0002,0.0004,0.0,0.0006
2343,0.2296,0.1622,0.5,0.4614,0.3804,0.0,0.0,0.0748
2342,0.2178,0.2052,0.1168,0.1432,0.0002,0.0068,0.0696,0.0002
63,0.0002,0.2348,0.0044,0.1966,0.0002,0.0006,0.0004,0.0002
1190,0.007,0.2826,0.0284,0.0508,0.0,0.1676,0.1194,0.0044
1195,0.0424,0.2966,0.1744,0.0682,0.0162,0.0744,0.216,0.0002
43,0.1488,0.1458,0.4692,0.0258,0.0002,0.001,0.0212,0.0002
1197,0.1322,0.1046,0.2064,0.2306,0.0002,0.1876,0.0576,0.0002
2221,0.0246,0.4704,0.2442,0.0398,0.0594,0.2748,0.3874,0.0122
1117,0.0402,0.3194,0.0142,0.4472,0.0002,0.0002,0.0002,0.0002
1279,0.1296,0.0662,0.402,0.3018,0.0002,0.2282,0.061,0.0002
142,0.0,0.1688,0.0066,0.0434,0.0,0.2008,0.0152,0.0
143,0.0098,0.4104,0.1436,0.0438,0.0,0.0,0.0,0.0
614,0.006,0.4024,0.1138,0.0478,0.0,0.0,0.011,0.0036
511,0.0002,0.0342,0.095,0.169,0.0002,0.0002,0.0002,0.0002
1199,0.481,0.1772,0.3704,0.0704,0.0384,0.0,0.0,0.0268
79,0.0244,0.3776,0.384,0.1106,0.0002,0.0002,0.0002,0.0002
2975,0.2528,0.1478,0.3846,0.4798,0.0002,0.0002,0.009,0.0002
2239,0.3684,0.457,0.2836,0.2618,0.0002,0.0,0.0,0.0002
435,0.0016,0.0564,0.457,0.0626,0.0002,0.0054,0.063,0.0002
3438,0.4642,0.0412,0.3582,0.3444,0.0002,0.0158,0.0584,0.0002
2127,0.0302,0.1492,0.0638,0.1012,0.0094,0.0202,0.1174,0.0002
