Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
1142,0.0002,0.1094,0.0314,0.1892,0.0002,0.0002,0.0002,0.0002
1143,0.0482,0.1308,0.1956,0.4346,0.0002,0.0002,0.0002,0.0002
1141,0.047,0.0928,0.4526,0.2626,0.0002,0.0002,0.0102,0.0024
2349,0.0234,0.021,0.0936,0.234,0.3392,0.0,0.0,0.0004
2223,0.422,0.3804,0.3986,0.3992,0.0022,0.0,0.0,0.0
3327,0.4574,0.3048,0.298,0.2312,0.0002,0.2928,0.2976,0.0002
693,0.3108,0.3294,0.109,0.175,0.0,0.0,0.0,0.0
21,0.0452,0.0576,0.4044,0.445,0.0,0.0002,0.0002,0.0296
2486,0.2734,0.0754,0.3814,0.4322,0.0002,0.114,0.3194,0.0002
2487,0.3216,0.071,0.3542,0.1804,0.0002,0.0002,0.0678,0.0002
2485,0.2126,0.0488,0.3428,0.4522,0.0002,0.0002,0.0716,0.0002
2483,0.3598,0.078,0.4258,0.302,0.0002,0.0,0.0,0.0002
159,0.2986,0.3578,0.0812,0.1826,0.001,0.0,0.0,0.0
2150,0.163,0.3092,0.3486,0.4106,0.0072,0.0,0.0,0.0002
283,0.215,0.288,0.4208,0.4452,0.0002,0.0002,0.0002,0.0002
815,0.4558,0.4728,0.3554,0.218,0.1852,0.0,0.0,0.328
287,0.389,0.2288,0.3792,0.1242,0.0196,0.0,0.0,0.022
119,0.1456,0.4504,0.1672,0.41,0.0002,0.0002,0.0002,0.0002
678,0.0002,0.4408,0.011,0.1318,0.0,0.0,0.0,0.0
2461,0.0888,0.3512,0.0166,0.2874,0.0002,0.0002,0.0002,0.0002
2462,0.1764,0.3376,0.2428,0.3902,0.2296,0.0,0.0,0.011
2463,0.3858,0.4012,0.289,0.2486,0.0002,0.0,0.0042,0.0002
1791,0.2794,0.2242,0.3408,0.4332,0.0002,0.2912,0.448,0.0002
1151,0.0322,0.1248,0.2456,0.1316,0.0002,0.1108,0.0154,0.0002
1318,0.2388,0.0996,0.4118,0.3492,0.271,0.0,0.0,0.0798
267,0.0016,0.3308,0.083,0.1072,0.0002,0.0002,0.0002,0.4806
2927,0.4114,0.3288,0.394,0.2962,0.0002,0.027,0.233,0.0002
2399,0.4214,0.3614,0.1628,0.15,0.4892,0.0,0.0,0.25
54,0.0188,0.3776,0.1342,0.2806,0.0002,0.0002,0.0002,0.0002
2999,0.2652,0.1934,0.3976,0.3764,0.0002,0.001,0.0638,0.0002
2318,0.1104,0.084,0.3222,0.3496,0.0002,0.0002,0.0002,0.0002
2319,0.0144,0.1002,0.374,0.2396,0.4064,0.0,0.0,0.0002
55,0.0456,0.4622,0.1684,0.23,0.0002,0.0002,0.0002,0.0002
2559,0.4834,0.2354,0.4568,0.3052,0.0002,0.2526,0.2964,0.0002
2495,0.3452,0.4656,0.073,0.188,0.0002,0.241,0.0394,0.0002
53,0.0614,0.4954,0.2858,0.1294,0.0,0.0,0.0,0.0
415,0.2576,0.208,0.4564,0.4696,0.0002,0.002,0.058,0.0002
2799,0.042,0.019,0.0158,0.023,0.186,0.0,0.0022,0.0032
2415,0.4056,0.4166,0.1408,0.1426,0.0002,0.0,0.0024,0.0002
411,0.0504,0.0508,0.3212,0.266,0.0002,0.0,0.0004,0.0002
413,0.0014,0.1496,0.0172,0.3364,0.0002,0.0002,0.0002,0.0002
294,0.3866,0.2232,0.1914,0.474,0.0,0.0,0.0,0.0
295,0.4986,0.2998,0.2286,0.0712,0.0126,0.0,0.0,0.0002
