Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
541134,0.035,0.2208,0.0026,0.4656,0.0002,0.4536,0.2944,0.0002
35543,0.0726,0.2798,0.069,0.3504,0.0028,0.0,0.0,0.2972
541133,0.0018,0.2826,0.0012,0.263,0.0006,0.0002,0.0002,0.0002
35230,0.0008,0.116,0.248,0.1144,0.0002,0.0,0.0,0.0002
35231,0.0486,0.065,0.361,0.4606,0.0002,0.3026,0.0068,0.0002
35549,0.0114,0.3092,0.0732,0.1916,0.0002,0.0,0.0,0.0002
145758,0.2482,0.3068,0.1416,0.4036,0.2306,0.0002,0.0,0.1094
541135,0.2404,0.3414,0.2232,0.358,0.0,0.0,0.0,0.0002
296366,0.4072,0.2428,0.1228,0.2596,0.0002,0.0048,0.0006,0.0002
296364,0.4364,0.1336,0.0764,0.2614,0.0198,0.1678,0.0118,0.0316
296363,0.3926,0.064,0.0034,0.2874,0.0002,0.2798,0.1298,0.0006
35547,0.0144,0.079,0.2502,0.37,0.0002,0.0,0.0,0.2218
281774,0.2842,0.0294,0.0982,0.3764,0.0002,0.0462,0.156,0.0002
420333,0.4812,0.0178,0.461,0.1346,0.001,0.0002,0.0352,0.0018
27373,0.0116,0.0528,0.3222,0.3772,0.0002,0.0,0.0,0.0002
82220,0.01,0.4784,0.0248,0.1314,0.0,0.0002,0.0002,0.435
75949,0.0162,0.38,0.0304,0.342,0.0,0.0004,0.0,0.0
279500,0.06,0.319,0.0624,0.0356,0.0002,0.0002,0.0002,0.0002
279502,0.1774,0.019,0.0052,0.0818,0.0002,0.0002,0.0008,0.0002
552631,0.3308,0.4214,0.2792,0.3106,0.0002,0.0808,0.0308,0.0216
297707,0.3966,0.473,0.192,0.4784,0.0018,0.0,0.0,0.0026
99998,0.3266,0.3352,0.1694,0.4276,0.0028,0.0,0.0,0.0472
297703,0.1378,0.2234,0.2178,0.0952,0.109,0.0,0.0,0.0192
2147,0.0002,0.314,0.018,0.0756,0.0,0.0234,0.0028,0.0
297709,0.456,0.2262,0.17,0.1188,0.0104,0.0,0.0,0.0452
16701,0.0174,0.4584,0.1242,0.1268,0.0002,0.0002,0.0002,0.0002
80590,0.1088,0.3496,0.447,0.1086,0.0156,0.0008,0.1972,0.0034
543803,0.0496,0.0808,0.2916,0.1822,0.0,0.0,0.0,0.0
280987,0.222,0.1268,0.3968,0.3602,0.0002,0.0,0.0018,0.0002
17259,0.2658,0.2344,0.3154,0.3496,0.0,0.0,0.0,0.0
100014,0.0202,0.202,0.045,0.1452,0.0006,0.0,0.0,0.1822
543806,0.4172,0.3038,0.0706,0.209,0.0002,0.0,0.0002,0.0002
280988,0.0422,0.3926,0.0468,0.2314,0.0002,0.0002,0.0002,0.0002
295851,0.24,0.3664,0.402,0.1254,0.0002,0.0008,0.001,0.0002
295850,0.1108,0.3284,0.0754,0.22,0.0002,0.0002,0.0002,0.0002
52462,0.0002,0.4,0.1226,0.0092,0.0002,0.0002,0.0002,0.0002
