Motifs:     Frequencies:
17487       0.00%
36043       0.00%
2798        0.00%
52431       0.00%
17484       0.00%
2206        0.00%
3327        0.00%
8908        0.00%
281259      0.00%
557513      0.00%
2153        0.00%
33365       0.00%
576614      0.00%
2157        0.00%
33501       0.00%
413         0.00%
26218       0.00%
52423       0.00%
19614       0.00%
838860      0.00%
2127        0.00%
618         0.00%
749         0.00%
26343       0.00%
541224      0.00%
560367      0.00%
462         0.00%
26222       0.00%
33158       0.00%
17613       0.00%
33893       0.00%
19559       0.00%
5196        0.00%
34909       0.00%
27579       0.00%
550499      0.00%
35951       0.00%
27302       0.00%
559206      0.00%
2709        0.00%
18027       0.00%
576716      0.00%
8649        0.00%
559274      0.00%
35431       0.00%
297166      0.00%
978671      0.00%
18159       0.00%
2815        0.00%
838895      0.00%
6172        0.00%
18503       0.00%
314462      0.00%
528947      0.00%
560331      0.00%
34925       0.00%
3007        0.00%
41949       0.00%
2766        0.00%
19660       0.00%
1179        0.00%
576751      0.00%
34927       0.00%
35494       0.00%
35503       0.00%
549683      0.00%
10310       0.00%
18605       0.00%
2175        0.00%
5164        0.00%
61          0.00%
550502      0.00%
28391       0.00%
34110       0.00%
34935       0.00%
50791       0.00%
295731      0.00%
3071        0.00%
2239        0.00%
847599      0.00%
31          0.00%
52155       0.00%
4380        0.00%
560335      0.00%
34502       0.00%
52382       0.00%
585455      0.00%
35891       0.00%
3259        0.00%
714         0.00%
718         0.00%
35567       0.00%
33999       0.00%
35771       0.00%
35559       0.00%
747         0.00%
33388       0.00%
1083        0.00%
279347      0.00%
828         0.00%
560363      0.00%
6877        0.00%
280749      0.00%
36011       0.00%
18526       0.00%
20203       0.00%
10439       0.00%
617         0.00%
33595       0.00%
10318       0.00%
51881       0.00%
34254       0.00%
19110       0.00%
839407      0.00%
33487       0.00%
19119       0.00%
9838        0.00%
2751        0.00%
9967        0.00%
34543       0.00%
36077       0.00%
148377      0.00%
35515       0.00%
33877       0.00%
42727       0.00%
279084      0.00%
52335       0.00%
560299      0.00%
35053       0.00%
36587       0.00%
559134      0.00%
52971       0.00%
34903       0.00%
19691       0.00%
164761      0.00%
3263        0.00%
42461       0.00%
576707      0.00%
19693       0.00%
543982      0.00%
541740      0.00%
543918      0.00%
9949        0.00%
19606       0.00%
281838      0.00%
297642      0.00%
34965       0.00%
838814      0.00%
34973       0.00%
302         0.00%
281774      0.00%
577263      0.00%
18460       0.00%
19567       0.00%
8652        0.00%
17639       0.00%
36007       0.00%
34414       0.00%
33094       0.00%
35563       0.00%
3519        0.00%
36015       0.00%
50919       0.00%
559305      0.00%
26349       0.00%
272557      0.00%
541865      0.00%
51899       0.00%
34031       0.00%
4636        0.00%
18151       0.00%
17822       0.00%
2231        0.00%
560879      0.00%
6238        0.00%
838893      0.00%
10926       0.00%
10413       0.00%
34510       0.00%
166093      0.00%
558045      0.00%
298158      0.00%
33478       0.00%
42735       0.00%
541235      0.00%
35934       0.00%
2271        0.00%
33452       0.00%
838858      0.00%
33723       0.00%
398         0.00%
2665        0.00%
18669       0.00%
541854      0.00%
43741       0.00%
141517      0.00%
17615       0.00%
3006        0.00%
34542       0.00%
576743      0.00%
51951       0.00%
36095       0.00%
557731      0.00%
576682      0.00%
3131        0.00%
315119      0.00%
35959       0.00%
33382       0.00%
33117       0.00%
559311      0.00%
6214        0.00%
18629       0.00%
2495        0.00%
560349      0.00%
576719      0.00%
10333       0.00%
286         0.00%
528981      0.00%
268969      0.00%
281257      0.00%
572         0.00%
2671        0.00%
19555       0.00%
152951      0.00%
17607       0.00%
17774       0.00%
2263        0.00%
750         0.00%
270892      0.00%
576747      0.00%
34023       0.00%
767         0.00%
139725      0.00%
541724      0.00%
33486       0.00%
35549       0.00%
33941       0.00%
557884      0.00%
8601        0.00%
8846        0.00%
19111       0.00%
19687       0.00%
44238       0.00%
34415       0.00%
28395       0.00%
2143        0.00%
33219       0.00%
17551       0.00%
18631       0.00%
558222      0.00%
33381       0.00%
280781      0.00%
273065      0.00%
839406      0.00%
65535       0.00%
33949       0.00%
1115        0.00%
21918       0.00%
35379       0.00%
280813      0.00%
93115       0.00%
703         0.00%
35134       0.00%
978663      0.00%
33843       0.00%
273061      0.00%
35435       0.00%
17069       0.00%
8911        0.00%
33350       0.00%
33230       0.00%
19563       0.00%
18637       0.00%
280604      0.00%
279209      0.00%
3775        0.00%
1051        0.00%
19627       0.00%
34013       0.00%
35526       0.00%
17135       0.00%
18155       0.00%
36863       0.00%
20205       0.00%
559343      0.00%
19557       0.00%
34525       0.00%
19625       0.00%
83102       0.00%
61439       0.00%
533093      0.00%
541897      0.00%
5550        0.00%
9423        0.00%
557740      0.00%
100700      0.00%
34921       0.00%
139918      0.00%
533043      0.00%
2743        0.00%
92023       0.00%
17299       0.00%
279091      0.00%
817015      0.00%
566237      0.00%
2131        0.00%
699357      0.00%
576714      0.00%
8910        0.00%
61183       0.00%
19631       0.00%
576711      0.00%
9963        0.00%
17066       0.00%
35413       0.00%
577262      0.00%
5470        0.00%
35895       0.00%
17307       0.00%
41915       0.00%
17005       0.00%
576611      0.00%
18479       0.00%
268987      0.00%
33046       0.00%
575         0.00%
559422      0.00%
585447      0.00%
42733       0.00%
19131       0.00%
557977      0.00%
2207        0.00%
5148        0.00%
2139        0.00%
43759       0.00%
52479       0.00%
534733      0.00%
34541       0.00%
2479        0.00%
557775      0.00%
560093      0.00%
25531       0.00%
35071       0.00%
17211       0.00%
279203      0.00%
52991       0.00%
26310       0.00%
20206       0.00%
9294        0.00%
838863      0.00%
34423       0.00%
550511      0.00%
35500       0.00%
560303      0.00%
6715        0.00%
33373       0.00%
576615      0.00%
21870       0.00%
99676       0.00%
33445       0.00%
36607       0.00%
51947       0.00%
50926       0.00%
43726       0.00%
43485       0.00%
35131       0.00%
560878      0.00%
270949      0.00%
35429       0.00%
2679        0.00%
17068       0.00%
139981      0.00%
17133       0.00%
281806      0.00%
2431        0.00%
847598      0.00%
17663       0.00%
18157       0.00%
51550       0.00%
831         0.00%
50798       0.00%
33957       0.00%
72092       0.00%
541772      0.00%
847591      0.00%
280716      0.00%
139721      0.00%
34679       0.00%
35031       0.00%
17083       0.00%
40142       0.00%
532941      0.00%
19183       0.00%
554871      0.00%
314299      0.00%
19550       0.00%
53247       0.00%
3135        0.00%
33911       0.00%
10991       0.00%
557770      0.00%
559788      0.00%
557789      0.00%
8669        0.00%
34974       0.00%
19621       0.00%
71820       0.00%
697309      0.00%
917         0.00%
35278       0.00%
568541      0.00%
34943       0.00%
173533      0.00%
8905        0.00%
139861      0.00%
35967       0.00%
20199       0.00%
34158       0.00%
35230       0.00%
23646       0.00%
559851      0.00%
8925        0.00%
559787      0.00%
19655       0.00%
281258      0.00%
71724       0.00%
295593      0.00%
17004       0.00%
38254       0.00%
2999        0.00%
20479       0.00%
17339       0.00%
559566      0.00%
959         0.00%
35387       0.00%
21966       0.00%
542315      0.00%
35477       0.00%
28398       0.00%
157294      0.00%
271155      0.00%
3295        0.00%
33519       0.00%
17573       0.00%
557774      0.00%
44799       0.00%
35534       0.00%
3567        0.00%
447         0.00%
100764      0.00%
17565       0.00%
699598      0.00%
18028       0.00%
568559      0.00%
557518      0.00%
6222        0.00%
72028       0.00%
35246       0.00%
577259      0.00%
33467       0.00%
51815       0.00%
19651       0.00%
22878       0.00%
560365      0.00%
5198        0.00%
3227        0.00%
559822      0.00%
10447       0.00%
10987       0.00%
577255      0.00%
838761      0.00%
315111      0.00%
141998      0.00%
148110      0.00%
541283      0.00%
27308       0.00%
19658       0.00%
52973       0.00%
9959        0.00%
297637      0.00%
529484      0.00%
9147        0.00%
19623       0.00%
18089       0.00%
33446       0.00%
2783        0.00%
459         0.00%
416699      0.00%
17007       0.00%
11470       0.00%
19109       0.00%
35039       0.00%
21854       0.00%
35502       0.00%
550508      0.00%
35166       0.00%
671         0.00%
1387        0.00%
8812        0.00%
940         0.00%
532937      0.00%
35899       0.00%
3053        0.00%
33482       0.00%
35430       0.00%
541775      0.00%
273339      0.00%
2267        0.00%
35182       0.00%
303         0.00%
272589      0.00%
27238       0.00%
297133      0.00%
174813      0.00%
5214        0.00%
20223       0.00%
529452      0.00%
33453       0.00%
414         0.00%
27754       0.00%
273071      0.00%
33437       0.00%
6237        0.00%
585454      0.00%
3291        0.00%
175310      0.00%
43757       0.00%
34411       0.00%
149099      0.00%
148622      0.00%
27050       0.00%
38302       0.00%
35565       0.00%
281263      0.00%
18087       0.00%
33389       0.00%
36471       0.00%
50638       0.00%
8815        0.00%
8797        0.00%
35903       0.00%
18091       0.00%
19099       0.00%
26367       0.00%
8582        0.00%
42717       0.00%
280783      0.00%
530508      0.00%
17062       0.00%
51943       0.00%
557507      0.00%
19181       0.00%
1023        0.00%
36063       0.00%
560187      0.00%
542319      0.00%
319         0.00%
576623      0.00%
18575       0.00%
559855      0.00%
17535       0.00%
18073       0.00%
43751       0.00%
28671       0.00%
35433       0.00%
6574        0.00%
559325      0.00%
18175       0.00%
9934        0.00%
9415        0.00%
50799       0.00%
9309        0.00%
34989       0.00%
16846       0.00%
27334       0.00%
19179       0.00%
290543      0.00%
272460      0.00%
30591       0.00%
52343       0.00%
6494        0.00%
313694      0.00%
174798      0.00%
34029       0.00%
83086       0.00%
34839       0.00%
18639       0.00%
543979      0.00%
17567       0.00%
585451      0.00%
34364       0.00%
18086       0.00%
35439       0.00%
8814        0.00%
991         0.00%
8943        0.00%
17629       0.00%
139605      0.00%
33742       0.00%
34142       0.00%
144861      0.00%
701         0.00%
5213        0.00%
26282       0.00%
50927       0.00%
281839      0.00%
557721      0.00%
30719       0.00%
4923        0.00%
18843       0.00%
